sls file,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration
bapa/arith/fol_0000088.smt2,unsat,0.469694376,benchmarks/bapa/arith/cvc5_bapa/fol_0000088.smt2,unsat,0.118020535,bapa/arith/fol_0000088.smt2,unsat,0.688197136,bapa/arith/fol_0000088.smt2,unsat,4.066264153,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000088.smt2,UNSAT,0.223
bapa/arith/fol_0000089.smt2,unsat,0.608501673,benchmarks/bapa/arith/cvc5_bapa/fol_0000089.smt2,unsat,0.115944624,bapa/arith/fol_0000089.smt2,unsat,0.715634823,bapa/arith/fol_0000089.smt2,unsat,3.446434259,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000089.smt2,UNSAT,0.223
bapa/arith/fol_0000090.smt2,sat,0.690729618,benchmarks/bapa/arith/cvc5_bapa/fol_0000090.smt2,sat,0.05977726,bapa/arith/fol_0000090.smt2,sat,0.588993788,bapa/arith/fol_0000090.smt2,sat,0.887457371,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000090.smt2,SAT,0.193
bapa/arith/fol_0000091.smt2,unsat,0.160047054,benchmarks/bapa/arith/cvc5_bapa/fol_0000091.smt2,unsat,0.010165215,bapa/arith/fol_0000091.smt2,unsat,0.387221336,bapa/arith/fol_0000091.smt2,unsat,3.074491739,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000091.smt2,UNSAT,0.019
bapa/arith/fol_0000092.smt2,unsat,0.166557312,benchmarks/bapa/arith/cvc5_bapa/fol_0000092.smt2,unsat,0.012187719,bapa/arith/fol_0000092.smt2,unsat,0.504790306,bapa/arith/fol_0000092.smt2,unsat,2.91204524,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000092.smt2,UNSAT,0.026
bapa/arith/fol_0000093.smt2,unsat,0.178097963,benchmarks/bapa/arith/cvc5_bapa/fol_0000093.smt2,unsat,0.011828899,bapa/arith/fol_0000093.smt2,unsat,0.431667328,bapa/arith/fol_0000093.smt2,unsat,5.822514534,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000093.smt2,UNSAT,0.035
bapa/arith/fol_0000094.smt2,unsat,0.229896784,benchmarks/bapa/arith/cvc5_bapa/fol_0000094.smt2,unsat,0.116023302,bapa/arith/fol_0000094.smt2,unsat,0.682026863,bapa/arith/fol_0000094.smt2,unsat,5.894703627,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000094.smt2,UNSAT,0.223
bapa/arith/fol_0000095.smt2,unsat,0.596110821,benchmarks/bapa/arith/cvc5_bapa/fol_0000095.smt2,unsat,0.116517305,bapa/arith/fol_0000095.smt2,unsat,0.674533367,bapa/arith/fol_0000095.smt2,unsat,4.752156019,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000095.smt2,UNSAT,0.24
bapa/arith/fol_0000096.smt2,sat,0.413686752,benchmarks/bapa/arith/cvc5_bapa/fol_0000096.smt2,sat,0.118608952,bapa/arith/fol_0000096.smt2,sat,1.480971813,bapa/arith/fol_0000096.smt2,sat,0.804335117,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000096.smt2,SAT,0.228
bapa/arith/fol_0000097.smt2,unsat,0.468215942,benchmarks/bapa/arith/cvc5_bapa/fol_0000097.smt2,unsat,0.115262508,bapa/arith/fol_0000097.smt2,unsat,1.984647036,bapa/arith/fol_0000097.smt2,unsat,5.499219656,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000097.smt2,UNSAT,0.23
