name,sat,problem_size,sls_size,z3_calls,interpolants_generated,merges,shiftdowns,offsets,total_time,reduction_time,augment_time,interpolation_time,solution_time
bapa/arith/fol_0000080.smt2,1,6,2,9,1,0,0,0,0.1768815517425537,9.059906005859375e-06,0.011218786239624023,0.02092576026916504,0.029488325119018555
bapa/arith/fol_0000081.smt2,0,6,1,7,1,0,0,0,0.15490198135375977,0,0.005414009094238281,0.019075632095336914,0.018566370010375977
bapa/arith/fol_0000082.smt2,1,6,7,80,5,3,0,0,0.664121150970459,0.11639022827148438,0.0452425479888916,0.25675225257873535,0.13242101669311523
bapa/arith/fol_0000083.smt2,0,6,1,9,2,0,0,0,0.16417956352233887,0,0.0053558349609375,0.02980208396911621,0.016725778579711914
bapa/arith/fol_0000084.smt2,1,7,2,9,1,0,0,0,0.1781599521636963,1.2636184692382812e-05,0.011759281158447266,0.023217201232910156,0.0298004150390625
bapa/arith/fol_0000085.smt2,0,7,5,54,4,2,1,0,0.4732184410095215,0.07906913757324219,0.03170490264892578,0.17457199096679688,0.07691311836242676
bapa/arith/fol_0000086.smt2,0,7,2,15,2,0,0,0,0.20443201065063477,1.3589859008789062e-05,0.01172947883605957,0.05828571319580078,0.026929378509521484
bapa/arith/fol_0000087.smt2,0,6,1,9,2,0,0,0,0.16650128364562988,0,0.005441904067993164,0.030713796615600586,0.01789999008178711
bapa/arith/fol_0000088.smt2,0,7,5,52,4,2,0,0,0.4696943759918213,0.06774783134460449,0.031969547271728516,0.18028473854064941,0.07889842987060547
bapa/arith/fol_0000089.smt2,0,7,6,65,6,2,0,0,0.608501672744751,0.07616376876831055,0.04015326499938965,0.2532176971435547,0.12079477310180664
bapa/arith/fol_0000090.smt2,1,6,7,85,4,3,1,0,0.6907296180725098,0.17157793045043945,0.0466156005859375,0.23310422897338867,0.1259016990661621
bapa/arith/fol_0000091.smt2,0,6,1,9,2,0,0,0,0.16004705429077148,0,0.005170106887817383,0.03047966957092285,0.015767812728881836
bapa/arith/fol_0000092.smt2,0,6,1,9,2,0,0,0,0.16655731201171875,0,0.005167961120605469,0.031191587448120117,0.016922473907470703
bapa/arith/fol_0000093.smt2,0,6,1,9,2,0,0,0,0.17809796333312988,0,0.005151987075805664,0.03866100311279297,0.017769575119018555
bapa/arith/fol_0000094.smt2,0,7,2,17,3,0,0,0,0.22989678382873535,1.2159347534179688e-05,0.011883258819580078,0.07300281524658203,0.02797675132751465
bapa/arith/fol_0000095.smt2,0,7,6,66,4,2,0,0,0.5961108207702637,0.11127471923828125,0.04064679145812988,0.21663379669189453,0.11471390724182129
bapa/arith/fol_0000096.smt2,1,7,5,42,2,2,0,0,0.41368675231933594,0.0768742561340332,0.03310394287109375,0.10822916030883789,0.08005356788635254
bapa/arith/fol_0000097.smt2,0,7,5,48,3,2,0,0,0.4682159423828125,0.07550621032714844,0.03251385688781738,0.1522839069366455,0.08714151382446289
bapa/arith/fol_0000098.smt2,0,7,5,48,3,2,0,0,0.4706900119781494,0.08109688758850098,0.032737016677856445,0.15051698684692383,0.0871574878692627
bapa/arith/fol_0000099.smt2,1,7,5,44,2,2,0,0,0.4503629207611084,0.07569074630737305,0.03252005577087402,0.12722182273864746,0.08754944801330566
bapa/arith/fol_0000100.smt2,1,7,5,44,2,2,0,0,0.4569358825683594,0.07818841934204102,0.0324854850769043,0.12689208984375,0.09611272811889648
bapa/arith/fol_0000101.smt2,1,7,10,140,7,5,0,2,1.283203125,0.2828822135925293,0.08215045928955078,0.48471903800964355,0.30669331550598145
bapa/arith/fol_0000102.smt2,1,7,6,58,4,2,0,0,0.5937139987945557,0.07537555694580078,0.04036235809326172,0.21386957168579102,0.13173508644104004
bapa/arith/fol_0000103.smt2,1,7,6,58,4,2,0,0,0.5711817741394043,0.07933616638183594,0.040819406509399414,0.204315185546875,0.1268613338470459
bapa/arith/fol_0000104.smt2,1,7,2,10,2,0,0,0,0.20302200317382812,1.0013580322265625e-05,0.011800765991210938,0.03181767463684082,0.034424781799316406
bapa/arith/fol_0000105.smt2,1,7,2,10,2,0,0,0,0.1976318359375,9.775161743164062e-06,0.011645078659057617,0.03041243553161621,0.03548884391784668
bapa/arith/fol_0000106.smt2,1,7,5,43,2,2,0,0,0.44295406341552734,0.07655644416809082,0.03200411796569824,0.11675834655761719,0.09132122993469238
bapa/arith/fol_0000107.smt2,0,6,1,9,2,0,0,0,0.17229604721069336,0,0.005139589309692383,0.03235769271850586,0.017861366271972656
bapa/arith/fol_0000108.smt2,1,6,9,120,5,5,0,1,0.9899008274078369,0.26377367973327637,0.06426382064819336,0.3345353603363037,0.2057807445526123
bapa/arith/fol_0000109.smt2,1,7,5,44,2,2,1,0,0.42366576194763184,0.08165860176086426,0.03181314468383789,0.11233758926391602,0.08166694641113281
bapa/arith/fol_0000110.smt2,0,7,6,66,6,2,0,0,0.6115660667419434,0.08214473724365234,0.04055595397949219,0.25493574142456055,0.11911702156066895
bapa/arith/fol_0000111.smt2,0,6,1,9,2,0,0,0,0.16483163833618164,0,0.0055501461029052734,0.030800580978393555,0.01849222183227539
bapa/arith/fol_0000112.smt2,0,7,2,19,4,0,0,0,0.2312915325164795,1.1682510375976562e-05,0.011407136917114258,0.08331513404846191,0.027230501174926758
bapa/arith/fol_0000113.smt2,1,6,7,89,6,3,0,0,0.7299294471740723,0.15384197235107422,0.04611539840698242,0.28455185890197754,0.12814068794250488
bapa/arith/fol_0000114.smt2,0,6,1,9,2,0,0,0,0.17205500602722168,0,0.005193471908569336,0.032111406326293945,0.01774454116821289
bapa/arith/fol_0000115.smt2,0,6,1,9,2,0,0,0,0.1649765968322754,0,0.005343437194824219,0.03139615058898926,0.016186237335205078
bapa/arith/fol_0000116.smt2,0,6,1,9,2,0,0,0,0.16637229919433594,0,0.005231618881225586,0.031394243240356445,0.017513513565063477
bapa/arith/fol_0000117.smt2,1,6,7,76,4,2,0,0,0.6782810688018799,0.11010360717773438,0.04672384262084961,0.2633953094482422,0.140822172164917
bapa/arith/fol_0000118.smt2,1,7,2,9,1,0,0,0,0.17952251434326172,9.5367431640625e-06,0.011754035949707031,0.0225217342376709,0.028377056121826172
bapa/arith/fol_0000119.smt2,0,7,6,66,4,2,0,0,0.5896446704864502,0.10805511474609375,0.03977847099304199,0.21087956428527832,0.11399340629577637
bapa/arith/fol_0000120.smt2,0,6,1,9,2,0,0,0,0.16510510444641113,0,0.00511932373046875,0.03168630599975586,0.015363454818725586
bapa/card/fol_0000001.smt2,1,6,8,107,7,4,1,0,0.8375632762908936,0.1937117576599121,0.05521202087402344,0.32927393913269043,0.15048456192016602
bapa/card/fol_0000002.smt2,1,6,8,94,4,4,0,0,0.7599031925201416,0.1815187931060791,0.05538296699523926,0.2584230899810791,0.15491914749145508
bapa/card/fol_0000003.smt2,1,6,7,75,4,3,0,1,0.6171481609344482,0.12449979782104492,0.04637622833251953,0.2169356346130371,0.11622834205627441
bapa/card/fol_0000004.smt2,1,6,8,102,5,4,0,0,1.3269217014312744,0.7170212268829346,0.05681777000427246,0.2875959873199463,0.15324854850769043
bapa/card/fol_0000005.smt2,1,6,7,80,5,3,0,0,0.66475510597229,0.15834474563598633,0.04985976219177246,0.22631382942199707,0.11709451675415039
bapa/card/fol_0000006.smt2,1,6,7,64,3,2,0,0,0.5674774646759033,0.08455371856689453,0.048363447189331055,0.19129729270935059,0.12969541549682617
bapa/card/fol_0000007.smt2,1,6,8,101,6,4,0,0,0.8210587501525879,0.1926109790802002,0.05649614334106445,0.3029661178588867,0.15386223793029785
bapa/card/fol_0000008.smt2,1,6,7,79,5,3,0,0,0.6557877063751221,0.15568184852600098,0.04574942588806152,0.2232208251953125,0.11771345138549805
bapa/card/fol_0000009.smt2,1,6,8,97,7,4,1,0,0.7910056114196777,0.17907977104187012,0.0558016300201416,0.2908966541290283,0.15495800971984863
bapa/card/fol_0000010.smt2,1,6,7,82,5,3,0,0,0.6674582958221436,0.15649080276489258,0.04692363739013672,0.23710417747497559,0.11411452293395996
bapa/card/fol_0000011.smt2,1,6,7,82,5,3,0,0,0.676119327545166,0.15720820426940918,0.047274112701416016,0.23583459854125977,0.12096548080444336
bapa/card/fol_0000012.smt2,1,6,7,83,5,3,0,0,0.6704628467559814,0.15236973762512207,0.04657745361328125,0.24010181427001953,0.11676859855651855
bapa/card/fol_0000013.smt2,1,6,7,74,4,3,0,0,0.5912201404571533,0.11287212371826172,0.04450488090515137,0.207808256149292,0.11883687973022461
bapa/card/fol_0000014.smt2,1,6,2,9,1,0,0,0,0.1610240936279297,9.298324584960938e-06,0.010957002639770508,0.019524574279785156,0.02547430992126465
